customer_id,customer_name,email,city,state,age,gender,signup_date,last_purchase_date,preferred_category,total_orders,avg_order_value,lifetime_value,days_since_last_purchase,email_open_rate,click_rate,campaign_type,discount_offered,device_type,marketing_channel,customer_segment,cart_value,previous_returns,purchased
100015,Kabir,kabir100015@yahoo.com,Chennai,Maharashtra,32.0,Other,2024-02-05,23/08/2025,Toys,4,1635.51,5482.04,280,0.47,0.142,Loyalty,5,Mobile,WhatsApp,New,553.69,0,0
100016,Kabir,kabir100016@hotmail.com,Kolkata,Karnataka,23.0,Female,2024-02-12,30/11/2024,Toys,1,1167.4,1827.2,523,0.249,0.082,Winback,15,Mobile,Email,Budget,1020.25,0,0
100017,Aditya,aditya100017@gmail.com,Lucknow,Delhi,31.0,Male,2022-04-06,01/03/2024,Toys,2,1546.43,4984.84,812,0.392,0.065,Cart Recovery,10,Mobile,Push,VIP,797.07,0,0
100018,Riya,riya100018@yahoo.com,Pune,Telangana,39.0,Male,2025-02-11,29/01/2026,Grocery,4,473.38,2232.17,107,,0.078,Discount,15,Mobile,Push,VIP,2066.91,0,0
100019,Ananya,ananya100019@yahoo.com,Bengaluru,Uttar Pradesh,32.0,Male,2024-09-13,24/04/2025,Sports,2,1472.22,3322.52,379,0.271,0.1,Winback,50,Mobile,SMS,Returning,450.41,1,0
100020,Vivaan,vivaan100020@yahoo.com,Ahmedabad,Gujarat,29.0,Female,2023-06-24,28/11/2024,electronics,7,1682.33,14410.01,465,0.157,1.8,Loyalty,20,Mobile,WhatsApp,Dormant,1414.06,1,0
100021,Kabir,kabir100021@yahoo.com,Bengaluru,Telangana,14.0,Male,2022-01-02,09/12/2023,Fashion,5,1075.04,7340.21,927,0.368,0.13,Cart Recovery,25,Mobile,Email,Dormant,1427.67,0,0
100022,Priya,priya100022@company.com,Ahmedabad,Uttar Pradesh,25.0,Male,2025-05-20,17/06/2027,Grocery,2,1977.89,6679.44,-376,0.268,0.019,New Arrival,20,,SMS,VIP,1205.29,0,1
100023,Riya,riya100023@gmail.com,Mumbai,Telangana,27.0,Female,2023-08-03,23/12/2024,Electronics,3,1226.23,5828.66,487,0.161,0.042,Discount,30,Mobile,Email,New,444.73,2,0
100024,Vivaan,vivaan100024@yahoo.com,Jaipur,West Bengal,42.0,Male,2022-11-29,01/12/2023,Sports,2,1804.99,3416.05,880,0.096,0.033,Welcome,10,Mobile,WhatsApp,Dormant,562.35,0,0
100025,Priya,priya100025@company.com,Jaipur,Gujarat,30.0,Female,2024-11-13,09/09/2026,Beauty,6,3382.36,32256.1,-158,0.114,0.018,New Arrival,0,Mobile,SMS,Returning,1068.63,0,1
100026,Ananya,ananya100026@yahoo.com,Delhi,Rajasthan,39.0,Male,2025-10-23,04/06/2027,Beauty,3,912.96,3386.13,-508,0.487,0.158,Cart Recovery,15,Mobile,Email,Premium,689.63,1,1
100027,Aarav,aarav100027@outlook.com,Delhi,West Bengal,26.0,Male,2024-01-12,24/10/2025,Home,3,927.37,4241.61,120,0.52,0.219,Festive Sale,10,Mobile,Email,Budget,453.62,1,0
100028,Priya,priya100028@yahoo.com,Kolkata,Gujarat,13.0,Female,2023-05-21,01/10/2024,Books,3,2675.5,12526.09,458,0.345,0.148,Cart Recovery,25,Mobile,Email,Dormant,1658.28,0,0
100029,Neha,neha100029@hotmail.com,Lucknow,Tamil Nadu,44.0,Male,2024-09-26,24/12/2024,Sports,3,965.65,3303.63,373,0.169,0.035,Winback,15,Desktop,Email,Dormant,2668.07,2,0
100030,Riya,riya100030@hotmail.com,Bengaluru,Karnataka,26.0,Female,2025-04-14,29/01/2027,electronics,3,1637.62,4054.55,-339,0.158,,Cart Recovery,20,Mobile,Email,Premium,1162.1,0,1
100031,Priya,priya100031@yahoo.com,Hyderabad,Uttar Pradesh,43.0,,2024-01-03,14/03/2024,Sports,6,1273.82,8623.81,761,0.18,0.013,Loyalty,30,Mobile,Email,Dormant,1037.96,0,0
100032,Meera,meera100032@rediffmail.com,Kolkata,Telangana,32.0,Female,2023-05-29,03/08/2024,Fashion,7,375.66,2174.65,614,0.368,0.061,Welcome,40,Mobile,Email,Returning,2537.41,3,0
100033,Aarav,aarav100033@outlook.com,Lucknow,West Bengal,48.0,,2024-06-13,02/05/2026,Electronics,4,1373.41,6936.37,40,0.43,0.151,Loyalty,0,Desktop,Email,Premium,261.57,0,0
100034,Rahul,rahul100034@gmail.com,,Telangana,66.0,Male,2022-12-27,09/12/2023,Home,2,899.57,2976.22,821,0.448,0.085,Cart Recovery,25,Mobile,SMS,Dormant,1447.26,0,0
100035,Rahul,rahul100035@yahoo.com,,Delhi,38.0,Male,2022-10-01,20/06/2023,Home,8,1639.16,20936.65,1007,0.275,0.018,Welcome,20,Mobile,Email,Premium,732.59,1,1
100036,Neha,neha100036@gmail.com,Delhi,Delhi,20.0,Female,2022-06-26,23/03/2023,Grocery,5,2307.51,13212.0,1154,0.233,0.056,Winback,50,Mobile,Email,Returning,1016.15,1,0
100037,Priya,priya100037@outlook.com,Kolkata,Uttar Pradesh,39.0,Female,2025-07-11,01/12/2026,Sports,3,877.76,3899.63,-285,0.525,0.081,Festive Sale,15,Mobile,WhatsApp,VIP,1438.81,0,1
100038,Priya,priya100038@yahoo.com,Lucknow,Tamil Nadu,38.0,Female,2025-04-24,13/09/2026,Toys,7,1072.99,10949.88,-235,0.352,,Winback,25,Mobile,Email,Premium,2254.15,2,0
100039,Aditya,aditya100039@rediffmail.com,Kolkata,Rajasthan,22.0,Female,2023-06-11,16/02/2025,Books,1,609.34,804.28,328,0.597,0.059,Winback,5,Mobile,SMS,Budget,486.59,2,0
100040,Priya,priya100040@company.com,Bengaluru,Delhi,27.0,Male,2024-07-01,24/08/2025,Toys,3,1544.59,6645.26,214,0.297,0.101,Winback,25,Mobile,WhatsApp,Premium,1157.3,1,1
100041,Arjun,arjun100041@rediffmail.com,Hyderabad,Telangana,30.0,Male,2022-10-06,16/12/2022,Fashion,4,1352.3,8725.16,1215,0.225,0.063,Discount,25,Mobile,Email,Premium,2709.12,0,0
100042,Isha,isha100042@rediffmail.com,Delhi,Telangana,38.0,Female,2023-12-07,18/02/2024,Toys,3,1866.77,5897.85,771,0.402,0.145,New Arrival,10,Mobile,Email,Dormant,2645.1,0,0
100043,Meera,meera100043@company.com,Ahmedabad,Gujarat,25.0,Male,2025-05-06,19/02/2027,Fashion,5,1708.08,8182.8,-301,0.03,0.004,Winback,20,Desktop,Email,New,337.69,0,0
100044,Aditya,aditya100044@company.com,Hyderabad,Telangana,24.0,Female,2025-10-04,18/02/2027,Fashion,4,1647.31,7179.19,-299,0.49,0.071,Cart Recovery,20,Mobile,Email,Returning,1407.77,1,1
100045,Ananya,ananya100045@hotmail.com,Ahmedabad,Uttar Pradesh,22.0,Male,2025-08-21,17/03/2027,Books,4,1083.82,5852.22,-427,0.453,0.089,Festive Sale,30,Desktop,SMS,Budget,495.16,1,1
100046,Aditya,aditya100046@company.com,Lucknow,Rajasthan,15.0,Male,2022-03-05,28/07/2022,Sports,5,2417.19,14917.51,1420,0.208,0.002,Welcome,15,Mobile,Email,New,734.29,0,0
100047,Arjun,arjun100047@yahoo.com,Hyderabad,West Bengal,40.0,Male,2022-10-17,01/12/2022,Electronics,2,2011.21,5651.71,1230,0.285,0.028,Loyalty,15,Mobile,WhatsApp,New,1152.76,1,0
100048,Ananya,ananya100048@gmail.com,Delhi,Tamil Nadu,35.0,Female,2022-01-18,28/01/2024,Books,4,1852.18,8898.62,785,0.021,0.004,Cart Recovery,25,Mobile,Email,Budget,847.84,0,0
100049,Meera,meera100049@hotmail.com,Lucknow,Uttar Pradesh,42.0,Male,2022-03-05,17/06/2022,Books,4,1358.25,7530.52,1323,0.324,0.046,Winback,15,Mobile,Email,Dormant,515.72,1,0
100050,Arjun,arjun100050@hotmail.com,Jaipur,Gujarat,27.0,Female,2022-11-26,14/03/2023,Books,0,,0.0,1037,1.4,0.111,Festive Sale,40,Mobile,Email,Budget,481.34,0,0
100051,Vivaan,vivaan100051@gmail.com,Delhi,Uttar Pradesh,27.0,Female,2024-02-02,14/12/2024,Electronics,5,1854.46,11039.83,562,0.313,0.048,Welcome,30,,Email,New,303.84,0,1
100052,Isha,isha100052@hotmail.com,Hyderabad,Telangana,37.0,Male,2024-11-06,06/03/2025,Home,5,1646.3,11368.42,410,0.109,0.026,Loyalty,15,Mobile,Push,Returning,2431.16,0,0
100053,Meera,meera100053@company.com,Pune,Rajasthan,43.0,Female,2023-03-19,29/07/2024,Grocery,3,652.48,2079.1,665,0.291,0.113,Discount,25,Mobile,Email,Returning,1657.4,0,0
100054,Priya,priya100054@rediffmail.com,Hyderabad,West Bengal,44.0,Female,2022-05-21,02/07/2022,Books,3,2634.93,8621.92,1340,,0.101,Discount,15,Mobile,WhatsApp,New,1532.96,0,0
100055,Vivaan,vivaan100055@outlook.com,Delhi,Telangana,23.0,Female,2025-08-24,30/11/2025,Fashion,5,5674.83,23217.02,141,0.621,0.124,Cart Recovery,0,,Email,New,322.58,2,1
100056,Neha,neha100056@company.com,Jaipur,Uttar Pradesh,43.0,Male,2023-03-20,22/02/2025,Electronics,4,1151.63,6946.73,462,0.187,,New Arrival,15,Mobile,Email,Dormant,987.56,0,0
100057,Meera,meera100057@rediffmail.com,Lucknow,Telangana,49.0,Male,2023-05-11,16/03/2024,Electronics,3,1147.4,4258.08,708,0.209,0.044,New Arrival,30,Desktop,Email,New,761.09,0,0
100058,Neha,neha100058@rediffmail.com,Lucknow,Delhi,38.0,Other,2023-03-02,01/10/2023,Grocery,1,,1082.39,982,0.072,,Cart Recovery,30,Desktop,SMS,Returning,666.32,1,0
100059,Ananya,ananya100059@hotmail.com,Delhi,Karnataka,46.0,Female,2025-06-22,27/09/2026,Toys,5,1223.95,8367.34,-194,0.38,0.064,New Arrival,5,Desktop,SMS,Budget,1168.51,0,1
100060,Vivaan,vivaan100060@yahoo.com,Kolkata,Tamil Nadu,39.0,Male,2023-03-26,04/04/2025,Grocery,7,990.43,6291.79,326,0.674,0.015,Festive Sale,15,Mobile,Email,Returning,375.67,0,1
100061,Isha,isha100061@yahoo.com,Pune,West Bengal,23.0,Male,2022-12-17,12/02/2024,Sports,2,3881.64,9459.26,710,0.507,0.185,New Arrival,20,Desktop,Email,Returning,868.33,0,0
100062,Priya,priya100062@hotmail.com,Pune,Gujarat,43.0,Female,2023-08-22,13/09/2024,Toys,6,2231.64,12335.2,640,0.308,0.027,Discount,25,Mobile,Push,VIP,4540.78,1,0
100063,Priya,priya100063@hotmail.com,Lucknow,Karnataka,38.0,Female,2023-12-12,07/11/2025,Grocery,4,1642.18,9255.11,232,0.522,0.075,New Arrival,15,Mobile,Email,New,720.3,0,1
100064,Arjun,arjun100064@gmail.com,Kolkata,Maharashtra,24.0,Male,2024-05-19,07/09/2024,Books,4,2300.87,8929.4,583,0.081,0.021,New Arrival,40,Desktop,Email,Budget,914.83,0,0
100065,Priya,priya100065@gmail.com,Ahmedabad,Rajasthan,28.0,Male,2025-03-30,05/08/2027,Books,7,2254.22,26169.32,-537,0.565,0.087,Welcome,30,Mobile,Email,Premium,370.55,0,1
100066,Kabir,kabir100066@outlook.com,Lucknow,Rajasthan,38.0,Male,2025-03-09,05/12/2025,Books,4,900.24,4830.59,145,0.123,0.046,Loyalty,15,Desktop,Email,Budget,549.91,0,0
100067,Aditya,aditya100067@outlook.com,Ahmedabad,Maharashtra,58.0,Other,2023-01-28,01/05/2025,Grocery,2,1340.98,2199.04,252,0.535,0.054,Loyalty,30,Mobile,Email,Budget,3940.35,0,0
100068,Aarav,aarav100068@outlook.com,Chennai,Delhi,52.0,Female,2024-04-21,31/07/2024,Toys,0,1692.43,0.0,583,0.694,0.089,Welcome,5,Desktop,Email,New,2692.44,0,0
100069,Isha,isha100069@outlook.com,Delhi,Gujarat,14.0,Male,2023-02-05,02/09/2023,Electronics,3,2128.87,6031.61,1019,0.15,0.04,Festive Sale,20,Desktop,SMS,Budget,1569.19,0,0
100070,Vivaan,vivaan100070@rediffmail.com,Pune,West Bengal,34.0,Male,2022-02-19,27/02/2024,Books,7,2046.38,19262.14,678,0.245,0.048,New Arrival,20,Desktop,WhatsApp,Dormant,1875.71,2,0
100071,Kabir,kabir100071@rediffmail.com,Bengaluru,Gujarat,,Female,2024-01-14,16/03/2026,Home,3,1481.56,6616.69,-30,0.054,0.023,Festive Sale,15,Mobile,Email,Budget,372.86,0,0
100072,Isha,isha100072@gmail.com,Chennai,Karnataka,30.0,Female,2025-08-11,01/09/2025,Toys,3,507.03,1639.13,167,0.057,0.022,Cart Recovery,10,Mobile,Push,Budget,564.55,0,0
100073,Vivaan,vivaan100073@yahoo.com,Bengaluru,Gujarat,29.0,Female,2024-06-24,23/07/2026,Grocery,3,643.3,2717.29,-40,0.153,0.015,Welcome,5,Mobile,Email,VIP,508.41,1,0
100074,Riya,riya100074@hotmail.com,Mumbai,Delhi,29.0,Male,2024-11-01,08/04/2025,Electronics,3,1115.23,5299.96,412,0.371,0.023,Welcome,25,Desktop,Email,Returning,1771.02,0,0
100075,Riya,riya100075@yahoo.com,Kolkata,Karnataka,42.0,Male,2025-09-20,27/02/2028,Home,3,2670.31,12935.82,-619,0.316,0.053,Festive Sale,15,,Email,Budget,4993.19,1,1
100076,Neha,neha100076@company.com,Kolkata,Tamil Nadu,38.0,Male,2024-09-17,27/09/2026,Home,1,1516.78,1381.2,-112,0.169,0.035,Welcome,20,Mobile,Push,Dormant,234.24,0,0
100077,Isha,isha100077@rediffmail.com,Bengaluru,Uttar Pradesh,39.0,Female,2024-11-04,12/10/2025,Grocery,5,1416.79,7930.88,260,0.386,0.066,Discount,10,Mobile,Email,Dormant,893.63,1,0
100078,Riya,riya100078@outlook.com,Bengaluru,Telangana,32.0,Female,2022-01-28,03/03/2023,,3,1030.69,3233.39,1113,0.3,0.033,Winback,30,Desktop,Email,VIP,876.71,1,0
100079,Vivaan,vivaan100079@outlook.com,Ahmedabad,Rajasthan,51.0,Female,2023-01-23,20/04/2024,Books,6,1318.38,10390.35,768,0.378,0.04,Loyalty,30,Mobile,Email,New,703.76,0,0
100080,Neha,neha100080@company.com,Jaipur,Tamil Nadu,31.0,Female,2025-08-08,07/07/2027,Home,3,2384.06,10975.06,-389,0.5,,Welcome,40,Mobile,Email,Returning,1380.09,1,1
100081,Priya,priya100081@yahoo.com,Hyderabad,Delhi,43.0,Male,2024-04-12,01/09/2024,Toys,5,,10021.89,552,0.181,0.015,Welcome,40,Mobile,Push,Premium,376.97,0,0
100082,Vivaan,vivaan100082@outlook.com,Pune,Gujarat,13.0,Female,2022-09-07,03/01/2025,Books,6,1616.93,16344.45,535,0.212,0.077,Winback,15,Tablet,Email,VIP,834.3,0,0
100083,Neha,neha100083@yahoo.com,Jaipur,Rajasthan,34.0,Male,2022-04-08,24/08/2024,Books,2,416.32,695.72,498,0.084,0.023,New Arrival,30,Desktop,Email,Premium,3056.27,2,0
100084,Isha,isha100084@hotmail.com,Chennai,Gujarat,29.0,Female,2025-09-22,23/10/2026,Books,4,756.5,2962.88,-118,0.219,0.086,Cart Recovery,0,Mobile,Email,VIP,726.29,0,1
100085,Kabir,kabir100085@company.com,Mumbai,Uttar Pradesh,35.0,Female,2024-11-28,17/05/2026,Sports,3,2322.64,10913.36,-49,0.487,0.125,New Arrival,30,Mobile,Email,Budget,1276.76,0,1
100086,Arjun,arjun100086@yahoo.com,Pune,Tamil Nadu,18.0,M,2024-11-27,16/04/2025,Grocery,4,1552.98,7164.83,314,0.207,0.038,Winback,20,Tablet,SMS,VIP,427.91,0,0
100087,Priya,priya100087@hotmail.com,Mumbai,Karnataka,50.0,Male,2025-08-16,12/04/2026,Toys,6,1299.32,11700.91,-43,0.203,0.068,Winback,20,Mobile,Email,Premium,506.93,0,1
100088,Meera,meera100088@yahoo.com,Chennai,Delhi,36.0,Other,2022-06-28,15/04/2023,Grocery,5,911.88,7634.76,1161,0.329,0.008,Welcome,25,,Email,VIP,1960.84,0,0
100089,Kabir,kabir100089@yahoo.com,Chennai,Gujarat,56.0,Female,2024-06-10,04/09/2026,Electronics,5,975.03,6489.85,-245,0.175,0.026,Cart Recovery,20,Mobile,WhatsApp,VIP,478.27,0,0
100090,Ananya,ananya100090@outlook.com,Bengaluru,Uttar Pradesh,42.0,Female,2025-07-29,18/10/2025,Fashion,6,1274.67,10702.48,120,0.164,0.031,Festive Sale,30,Mobile,Push,Budget,855.75,0,0
100091,Vivaan,vivaan100091@gmail.com,,Tamil Nadu,37.0,Male,2024-01-20,01/08/2025,Beauty,0,1130.67,0.0,154,0.365,,Discount,10,Mobile,Email,New,555.87,0,0
100092,Ananya,ananya100092@rediffmail.com,Delhi,Gujarat,34.0,Female,2025-04-02,14/08/2027,Home,1,1818.2,2926.02,-413,0.197,0.061,Cart Recovery,20,Desktop,Email,Returning,527.49,0,0
100093,Kabir,kabir100093@yahoo.com,Mumbai,Rajasthan,41.0,Male,2023-03-29,14/08/2025,Electronics,1,2673.06,3751.08,268,0.498,0.149,Cart Recovery,15,Mobile,SMS,New,1061.44,1,0
100094,Neha,neha100094@yahoo.com,Ahmedabad,Karnataka,42.0,Male,2022-04-07,24/09/2022,Home,5,2458.99,16519.14,1207,0.022,0.003,Welcome,30,Mobile,Email,VIP,2953.5,0,0
100095,Meera,meera100095@yahoo.com,Kolkata,Rajasthan,39.0,Female,2022-11-05,17/12/2024,Toys,7,754.99,4359.37,449,0.225,0.045,Cart Recovery,20,Desktop,Email,New,1316.05,0,1
100096,Priya,priya100096@gmail.com,Hyderabad,Maharashtra,57.0,Male,2022-09-19,20/04/2024,Electronics,8,1726.3,17196.09,642,0.481,0.031,Welcome,25,Desktop,WhatsApp,Returning,719.64,0,1
100097,Priya,priya100097@hotmail.com,Chennai,West Bengal,46.0,Female,2022-10-20,28/03/2024,Beauty,4,3409.75,23126.09,660,0.327,0.058,Welcome,15,Desktop,Email,VIP,973.82,0,1
100098,Priya,priya100098@company.com,Hyderabad,Gujarat,28.0,Female,2022-09-06,29/02/2024,Electronics,4,1640.19,7901.15,757,0.098,0.031,Winback,10,Mobile,Email,Dormant,1510.74,0,0
100099,Meera,meera100099@outlook.com,Bengaluru,Maharashtra,26.0,Female,2022-09-02,20/12/2022,Books,7,2469.75,28721.42,1177,0.448,0.036,New Arrival,40,Mobile,Email,Dormant,1621.4,2,1
100100,Aarav,aarav100100@gmail.com,Ahmedabad,Gujarat,38.0,Female,2022-09-08,07/04/2023,Electronics,2,3141.92,10577.54,1115,0.344,,Winback,50,Tablet,Push,VIP,844.29,0,0
100101,Meera,meera100101@hotmail.com,Mumbai,Delhi,36.0,Female,2022-05-03,16/06/2024,Beauty,3,1681.53,6970.33,566,0.225,0.09,Winback,50,Tablet,Email,Premium,1616.27,0,0
100102,Arjun,arjun100102@yahoo.com,Chennai,Rajasthan,37.0,Female,2022-11-21,01/02/2024,Fashion,2,1031.98,2208.62,809,0.222,0.043,Loyalty,20,Mobile,Email,Premium,513.93,0,0
100103,Meera,meera100103@hotmail.com,,Tamil Nadu,18.0,Female,2024-09-12,30/07/2025,Fashion,6,1786.93,10463.44,235,0.356,0.048,Cart Recovery,15,mobile,Email,VIP,1452.63,0,1
100104,Kabir,kabir100104@gmail.com,Ahmedabad,Rajasthan,43.0,Female,2023-05-16,31/10/2025,Toys,3,679.9,2634.3,238,0.086,,Festive Sale,30,Mobile,Email,Premium,1449.77,1,0
100105,Aarav,aarav100105@gmail.com,Hyderabad,Delhi,30.0,Female,2023-11-18,31/10/2025,Electronics,4,1677.39,6001.45,239,0.638,0.227,Loyalty,30,Desktop,Email,Premium,693.52,0,1
100106,Priya,priya100106@gmail.com,Ahmedabad,Maharashtra,56.0,Female,2024-12-25,18/03/2025,Grocery,4,1917.67,9630.02,389,0.073,0.024,Festive Sale,0,Mobile,Email,Budget,1750.74,0,0
100107,Kabir,kabir100107@company.com,Mumbai,Telangana,36.0,Male,2024-04-15,25/04/2025,,4,450.5,2508.29,285,0.017,0.002,New Arrival,30,Mobile,Email,VIP,821.51,0,0
100108,Kabir,kabir100108@rediffmail.com,Chennai,Karnataka,33.0,Female,2022-02-28,21/04/2022,Beauty,4,486.16,2324.02,1501,0.387,0.106,Discount,20,Mobile,Email,Budget,601.72,0,0
100109,Rahul,rahul100109@outlook.com,Hyderabad,Maharashtra,39.0,Female,2024-01-01,16/05/2026,Electronics,5,2293.17,10725.18,-1,0.184,0.068,Welcome,30,Tablet,Email,New,384.29,0,1
100110,Aditya,aditya100110@company.com,Delhi,Karnataka,27.0,Male,2025-10-28,07/03/2027,Electronics,7,575.37,6141.96,-381,0.278,0.029,Festive Sale,30,Tablet,Email,VIP,1426.91,1,1
100111,Aarav,aarav100111@company.com,Mumbai,Maharashtra,51.0,Female,2022-09-23,05/06/2023,Grocery,5,780.59,5023.15,950,0.555,0.116,New Arrival,40,Mobile,Email,New,367.09,1,0
100112,Kabir,kabir100112@rediffmail.com,Jaipur,West Bengal,58.0,Female,2022-08-24,31/03/2024,Books,10,1803.13,18812.75,659,0.117,0.006,Loyalty,10,Mobile,Push,VIP,954.88,0,1
100113,Aditya,aditya100113@company.com,Mumbai,Delhi,41.0,Female,2024-06-16,21/01/2025,Fashion,3,855.85,2090.3,367,0.34,0.164,Festive Sale,0,Mobile,Push,New,1718.86,0,0
100114,Aditya,aditya100114@gmail.com,Pune,Telangana,41.0,Male,2022-08-06,21/05/2024,Beauty,2,1447.08,3732.81,684,,0.125,Discount,20,Desktop,Push,Premium,1097.19,0,0
100115,Aarav,aarav100115@gmail.com,Delhi,Delhi,28.0,Female,2024-09-01,09/12/2024,Grocery,6,2158.01,19299.14,451,0.209,0.086,Welcome,20,Mobile,Email,New,2485.03,1,1
100116,Rahul,rahul100116@hotmail.com,Ahmedabad,Karnataka,34.0,Male,2023-08-12,18/12/2023,Toys,1,2097.88,2365.43,905,0.187,0.033,New Arrival,15,Mobile,SMS,Budget,2080.04,0,0
100117,Ananya,ananya100117@yahoo.com,Lucknow,Gujarat,39.0,Female,2024-07-05,08/02/2025,Toys,8,2310.88,25787.89,422,0.233,0.048,Discount,20,Mobile,SMS,Budget,1023.73,2,1
100118,Neha,neha100118@company.com,Jaipur,Rajasthan,23.0,Male,2024-07-06,25/10/2025,Beauty,2,1802.71,5466.23,164,0.055,0.006,Cart Recovery,20,Mobile,Email,New,1039.92,0,0
100119,Arjun,arjun100119@yahoo.com,Delhi,Rajasthan,50.0,Female,2025-02-07,31/03/2027,Home,8,2711.72,26525.93,-446,0.194,0.022,Loyalty,20,Desktop,SMS,Dormant,536.54,0,1
100120,Neha,neha100120@outlook.com,Pune,Maharashtra,19.0,Female,2022-12-19,20/03/2024,Electronics,3,1052.48,3293.65,776,0.28,0.034,Loyalty,0,Mobile,Email,Dormant,322.78,0,0
100121,Meera,meera100121@gmail.com,Hyderabad,Delhi,13.0,Male,2022-04-01,22/04/2022,Electronics,9,1349.46,14239.22,1506,0.208,0.019,Loyalty,25,Mobile,Email,Budget,959.86,0,0
100122,Priya,priya100122@hotmail.com,Bengaluru,West Bengal,51.0,Female,2023-12-03,22/10/2025,Grocery,4,1398.43,8307.22,88,0.311,0.097,New Arrival,15,Mobile,Email,Budget,811.92,1,1
100123,Arjun,arjun100123@outlook.com,Lucknow,Maharashtra,42.0,Male,2022-03-14,24/09/2023,Fashion,3,418.1,1249.99,911,0.178,0.043,Welcome,30,Mobile,Email,Dormant,2165.25,0,0
100124,Meera,meera100124@hotmail.com,hyd,Tamil Nadu,25.0,Female,2023-11-16,05/08/2025,Beauty,6,1483.3,9163.84,177,0.264,,Winback,25,Mobile,Email,Dormant,1003.07,0,0
100125,Kabir,kabir100125@rediffmail.com,,Rajasthan,36.0,Female,2023-12-23,15/11/2024,Electronics,6,2657.2,17916.24,527,0.12,0.046,Cart Recovery,25,Mobile,Email,VIP,2993.28,1,0
100126,Priya,priya100126@gmail.com,,Rajasthan,36.0,Female,2025-08-14,18/01/2028,Home,4,1734.95,9471.24,-665,0.365,0.078,Festive Sale,15,Tablet,WhatsApp,VIP,976.69,0,1
100127,Vivaan,vivaan100127@outlook.com,Kolkata,Telangana,35.0,Female,2025-07-30,20/06/2027,Toys,2,2166.11,4404.56,-475,0.706,0.168,Winback,25,,SMS,Returning,824.15,0,1
100128,Aarav,aarav100128@rediffmail.com,Kolkata,Uttar Pradesh,24.0,Female,2025-05-06,28/08/2026,Home,3,1344.38,5023.3,-107,0.284,0.036,New Arrival,20,Desktop,SMS,VIP,1626.6,0,0
